Unique ID,Name,Abbreviation,Ideology,Mother Party,Founded,Brigades and Wings,International Affiliations,Website,Headquarters,Color(s) (if known),Principles,Slogan
ORG045,Islami Chhatra Khelafat,ICK,Religionism,Islami Oikya Jote,YYYY-MM-DD,None,None,None,"57, Kaji Riaz Uddin Road, Lalbagh, Dhaka, Bangladesh",Information not available,None,None
ORG046,JAGPA Student's League,JAGPASL,Bangladeshi nationalism,Jatiya Ganotantrik Party,1948-01-04,None,None,None,"Asad Gate, Dhaka, Bangladesh",Information not available,"Education, Peace, Progress",None
ORG047,JAGPA Student's League,JAGPASL,Religionism,Jatiya Ganotantrik Party,1948-01-04,None,None,None,"Asad Gate, Dhaka, Bangladesh",Information not available,"Education, Peace, Progress",None
ORG048,JAGPA Student's League,JAGPASL,Islamism,Jatiya Ganotantrik Party,1948-01-04,None,None,None,"Asad Gate, Dhaka, Bangladesh",Information not available,"Education, Peace, Progress",None
ORG049,JAGPA Student's League,JAGPASL,Nationalism,Jatiya Ganotantrik Party,1948-01-04,None,None,None,"Asad Gate, Dhaka, Bangladesh",Information not available,"Education, Peace, Progress",None
ORG050,Bangladesh Jatiotabadi Chatra Dal,JCD,Bangladeshi Nationalism,Bangladesh Nationalist Party,1979-01-01,None,None,None,"28/1 New Paltan, Dhaka, Bangladesh",Information not available,"Education, Unity, Progress",None
ORG051,Bangladesh Jatiotabadi Chatra Dal,JCD,Nationalism,Bangladesh Nationalist Party,1979-01-01,None,None,None,"28/1 New Paltan, Dhaka, Bangladesh",Information not available,"Education, Unity, Progress",None
ORG052,Jatiyo Chatra Samaj,JCS,Conservatism,Jatiyo Party,1983-03-27,None,None,https://jcsbd.org/,"55/B Purana Paltan, Dhaka, Bangladesh","Green, Red",None,None
ORG053,Jatiyo Chatra Samaj,JCS,Bangladeshi Nationalism,Jatiyo Party,1983-03-27,None,None,https://jcsbd.org/,"55/B Purana Paltan, Dhaka, Bangladesh","Green, Red",None,None
ORG054,Jatiyo Chatra Samaj,JCS,Nationalism,Jatiyo Party,1983-03-27,None,None,https://jcsbd.org/,"55/B Purana Paltan, Dhaka, Bangladesh","Green, Red",None,None
ORG055,Nagorik chatra Oikya,NCO,Social Justice,Nagorik Oikya,YYYY-MM-DD,None,None,https://jcsbd.org/,"55/B Purana Paltan, Dhaka, Bangladesh",In
